Model Name,Hyperparameter,Train Size,Validation Size,TP,FP,TN,FN,Accuracy,Precision,Recall,Specificity,F1-Score,MCC,AUROC,Hinge Loss
SVM,"C=0.01, kernel='rbf', gamma=0.01",1306,326,0,0,864,768,0.5296000000000001,0.0,0.0,0.0,0.0,0.0,0.055600000000000004,0.9411755877000431
SVM,"C=0.01, kernel='rbf', gamma=1",1306,326,0,0,864,768,0.5296000000000001,0.0,0.0,0.0,0.0,0.0,0.055600000000000004,0.9411755877000431
SVM,"C=0.01, kernel='rbf', gamma=10",1306,326,0,0,864,768,0.5296000000000001,0.0,0.0,0.0,0.0,0.0,0.055600000000000004,0.9411755877000431
SVM,"C=0.01, kernel='rbf', gamma=100",1306,326,0,0,864,768,0.5296000000000001,0.0,0.0,0.0,0.0,0.0,0.055600000000000004,0.9411755877000431
SVM,"C=0.01, kernel='rbf', gamma=1000",1306,326,0,0,864,768,0.5296000000000001,0.0,0.0,0.0,0.0,0.0,0.055600000000000004,0.9411755877000431
SVM,"C=1, kernel='rbf', gamma=0.01",1306,326,0,0,864,768,0.5296000000000001,0.0,0.0,0.0,0.0,0.0,0.055600000000000004,0.9411755877000431
SVM,"C=1, kernel='rbf', gamma=1",1306,326,0,1,863,768,0.5290000000000001,0.0,0.0,0.0,0.0,-0.0104,0.055600000000000004,0.9423988292902573
SVM,"C=1, kernel='rbf', gamma=10",1306,326,24,11,853,744,0.5374000000000001,0.6692,0.031,0.031,0.0596,0.0612,0.08320000000000001,0.925247181103544
SVM,"C=1, kernel='rbf', gamma=100",1306,326,67,51,813,701,0.5392,0.5728,0.08720000000000001,0.08720000000000001,0.15120000000000003,0.05539999999999999,0.1332,0.9215511904091855
SVM,"C=1, kernel='rbf', gamma=1000",1306,326,314,272,592,454,0.5552000000000001,0.5364,0.4088,0.4088,0.46319999999999995,0.09820000000000001,0.41880000000000006,0.8897168908650871
SVM,"C=10, kernel='rbf', gamma=0.01",1306,326,0,0,864,768,0.5296000000000001,0.0,0.0,0.0,0.0,0.0,0.055600000000000004,0.9411755877000431
SVM,"C=10, kernel='rbf', gamma=1",1306,326,13,10,854,755,0.5314,0.4692,0.0168,0.0168,0.0326,0.0222,0.07039999999999999,0.9374983583797677
SVM,"C=10, kernel='rbf', gamma=10",1306,326,44,34,830,724,0.5356,0.5599999999999999,0.056999999999999995,0.056999999999999995,0.1036,0.041,0.1062,0.9289169058741862
SVM,"C=10, kernel='rbf', gamma=100",1306,326,348,301,563,420,0.5582,0.5364000000000001,0.453,0.453,0.49079999999999996,0.10699999999999998,0.45840000000000003,0.8835931783643833
SVM,"C=10, kernel='rbf', gamma=1000",1306,326,374,371,493,394,0.5312,0.5022,0.48719999999999997,0.48719999999999997,0.4944,0.0576,0.48860000000000003,0.937457083356785
SVM,"C=100, kernel='rbf', gamma=0.01",1306,326,0,2,862,768,0.5284000000000001,0.0,0.0,0.0,0.0,-0.014799999999999999,0.055600000000000004,0.9436220708804713
SVM,"C=100, kernel='rbf', gamma=1",1306,326,40,34,830,728,0.5332000000000001,0.5352,0.0518,0.0518,0.09459999999999999,0.029600000000000005,0.1018,0.9338211290594923
SVM,"C=100, kernel='rbf', gamma=10",1306,326,349,285,579,419,0.5686,0.5522,0.4544,0.4544,0.4974,0.1282,0.4596,0.8627605485825782
SVM,"C=100, kernel='rbf', gamma=100",1306,326,395,354,510,373,0.5544,0.5288,0.514,0.514,0.521,0.10500000000000001,0.5124000000000001,0.8908800960582355
SVM,"C=100, kernel='rbf', gamma=1000",1306,326,337,383,481,431,0.5014000000000001,0.46740000000000004,0.43899999999999995,0.43899999999999995,0.4524,-0.004400000000000003,0.44539999999999996,0.9975272508958556
SVM,"C=1000, kernel='rbf', gamma=0.01",1306,326,12,11,853,756,0.5302,0.43339999999999995,0.0156,0.0156,0.030000000000000006,0.0126,0.06920000000000001,0.9399485938350125
SVM,"C=1000, kernel='rbf', gamma=1",1306,326,324,308,556,444,0.5391999999999999,0.5147999999999999,0.4218,0.4218,0.4628,0.06760000000000001,0.43079999999999996,0.9215474381343689
SVM,"C=1000, kernel='rbf', gamma=10",1306,326,384,372,492,384,0.5368,0.509,0.5,0.5,0.5034000000000001,0.06960000000000001,0.5,0.926432899945592
SVM,"C=1000, kernel='rbf', gamma=100",1306,326,393,399,465,375,0.526,0.4976,0.5118,0.5118,0.504,0.05,0.5104,0.9484962758672445
SVM,"C=1000, kernel='rbf', gamma=1000",1306,326,337,383,481,431,0.5014000000000001,0.46740000000000004,0.43899999999999995,0.43899999999999995,0.4524,-0.004400000000000003,0.44539999999999996,0.9975272508958556
