Model Name,Hyperparameter,Train Size,Validation Size,TP,FP,TN,FN,Accuracy,Precision,Recall,Specificity,F1-Score,MCC,AUROC,Hinge Loss
SVM,"C=0.01, kernel='rbf', gamma=0.01",1306,326,0,0,864,768,0.5296000000000001,0.0,0.0,0.0,0.0,0.0,0.055600000000000004,0.9411755877000431
SVM,"C=0.01, kernel='rbf', gamma=1",1306,326,0,0,864,768,0.5296000000000001,0.0,0.0,0.0,0.0,0.0,0.055600000000000004,0.9411755877000431
SVM,"C=0.01, kernel='rbf', gamma=10",1306,326,0,0,864,768,0.5296000000000001,0.0,0.0,0.0,0.0,0.0,0.055600000000000004,0.9411755877000431
SVM,"C=0.01, kernel='rbf', gamma=100",1306,326,0,0,864,768,0.5296000000000001,0.0,0.0,0.0,0.0,0.0,0.055600000000000004,0.9411755877000431
SVM,"C=0.01, kernel='rbf', gamma=1000",1306,326,0,0,864,768,0.5296000000000001,0.0,0.0,0.0,0.0,0.0,0.055600000000000004,0.9411755877000431
SVM,"C=1, kernel='rbf', gamma=0.01",1306,326,0,0,864,768,0.5296000000000001,0.0,0.0,0.0,0.0,0.0,0.055600000000000004,0.9411755877000431
SVM,"C=1, kernel='rbf', gamma=1",1306,326,0,1,863,768,0.529,0.0,0.0,0.0,0.0,-0.0104,0.055600000000000004,0.9424025815650738
SVM,"C=1, kernel='rbf', gamma=10",1306,326,28,26,838,740,0.5307999999999999,0.5494,0.0362,0.0362,0.067,0.021399999999999995,0.0878,0.938729104519615
SVM,"C=1, kernel='rbf', gamma=100",1306,326,57,59,805,711,0.5282,0.5048,0.0742,0.0742,0.12840000000000001,0.014800000000000002,0.1216,0.9436183186056548
SVM,"C=1, kernel='rbf', gamma=1000",1306,326,239,300,564,529,0.492,0.4446,0.31120000000000003,0.31120000000000003,0.364,-0.0376,0.3322,1.0159096452224161
SVM,"C=10, kernel='rbf', gamma=0.01",1306,326,0,0,864,768,0.5296000000000001,0.0,0.0,0.0,0.0,0.0,0.055600000000000004,0.9411755877000431
SVM,"C=10, kernel='rbf', gamma=1",1306,326,16,14,850,752,0.5308,0.3164,0.021,0.021,0.0382,0.0124,0.0742,0.9387253522447985
SVM,"C=10, kernel='rbf', gamma=10",1306,326,33,30,834,735,0.5314,0.5512,0.042800000000000005,0.042800000000000005,0.0784,0.0256,0.09359999999999999,0.9375021106545842
SVM,"C=10, kernel='rbf', gamma=100",1306,326,267,285,579,501,0.5186,0.48419999999999996,0.3476,0.3476,0.4032,0.019000000000000003,0.3646,0.9632051931483463
SVM,"C=10, kernel='rbf', gamma=1000",1306,326,323,403,461,445,0.48039999999999994,0.4454000000000001,0.4208,0.4208,0.43200000000000005,-0.045599999999999995,0.42919999999999997,1.03916624453575
SVM,"C=100, kernel='rbf', gamma=0.01",1306,326,0,1,863,768,0.529,0.0,0.0,0.0,0.0,-0.0104,0.055600000000000004,0.9424025815650738
SVM,"C=100, kernel='rbf', gamma=1",1306,326,35,29,835,733,0.5332,0.595,0.0456,0.0456,0.08280000000000001,0.0382,0.09580000000000001,0.9338248813343089
SVM,"C=100, kernel='rbf', gamma=10",1306,326,201,218,646,567,0.519,0.4784,0.2618,0.2618,0.335,0.0104,0.2882,0.9620119697566649
SVM,"C=100, kernel='rbf', gamma=100",1306,326,306,358,506,462,0.4976,0.462,0.3986,0.3986,0.4266,-0.015799999999999998,0.4098,1.0049079754601227
SVM,"C=100, kernel='rbf', gamma=1000",1306,326,353,404,460,415,0.49820000000000003,0.4664,0.4598,0.4598,0.462,-0.007800000000000001,0.46419999999999995,1.0036434588469259
SVM,"C=1000, kernel='rbf', gamma=0.01",1306,326,16,18,846,752,0.5284000000000001,0.1876,0.020800000000000003,0.020800000000000003,0.0372,0.0,0.074,0.9436258231552879
SVM,"C=1000, kernel='rbf', gamma=1",1306,326,169,191,673,599,0.5162,0.4668,0.2202,0.2202,0.2954,-0.002200000000000002,0.2512,0.9681281777077354
SVM,"C=1000, kernel='rbf', gamma=10",1306,326,299,321,543,469,0.5157999999999999,0.48200000000000004,0.3892,0.3892,0.429,0.0182,0.4016,0.9681469390818183
SVM,"C=1000, kernel='rbf', gamma=100",1306,326,331,384,480,437,0.497,0.4636,0.4311999999999999,0.4311999999999999,0.4464,-0.013400000000000004,0.43879999999999997,1.0060711806532712
SVM,"C=1000, kernel='rbf', gamma=1000",1306,326,353,405,459,415,0.4976,0.466,0.4598,0.4598,0.46159999999999995,-0.009000000000000001,0.46399999999999997,1.0048704527119567
